"","Date","Vendite_1","Scontrini_1","Vendite_2","Scontrini_2","Vendite_3","Scontrini_3","Vendite_4","Scontrini_4","Vendite_5","Scontrini_5","Vendite_6","Scontrini_6","week_day"
"122",2017-05-02,3693.82,475,5490.88,593,0,0,2524.99,654,3683.47,560,0,0,"Tuesday"
"123",2017-05-03,4518.33,573,5970.34,665,0,0,2726.02,653,4185.03,626,0,0,"Wednesday"
"124",2017-05-04,4952.22,569,6904.48,716,0,0,2744.5,659,4911.19,674,0,0,"Thursday"
"125",2017-05-05,5927.08,740,9374.54,1015,0,0,2649.67,671,6325.8,829,0,0,"Friday"
"126",2017-05-06,9727,1197,10609.27,1092,0,0,3141.09,681,7749.72,990,0,0,"Saturday"
"127",2017-05-07,8556.35,969,8892.07,863,0,0,2495.57,546,5989.47,773,0,0,"Sunday"
"128",2017-05-08,3770.04,485,5907.33,636,0,0,2194.5,660,4222.67,615,0,0,"Monday"
"129",2017-05-09,4091.77,511,6138.22,706,0,0,2505.63,665,4247.97,655,0,0,"Tuesday"
"130",2017-05-10,6040.11,811,7620.95,755,0,0,2389,613,4475.11,652,0,0,"Wednesday"
"131",2017-05-11,5117.32,635,6840.94,749,0,0,2826.01,654,5663.3,707,0,0,"Thursday"
"132",2017-05-12,6468.1,798,9159.59,1025,0,0,2995.47,719,7559.27,964,0,0,"Friday"
"133",2017-05-13,8846.7,1104,12518.33,1209,0,0,3645.61,832,7629.49,986,0,0,"Saturday"
"134",2017-05-14,6776.48,771,8862.56,806,0,0,2265.88,508,6276.69,772,0,0,"Sunday"
"135",2017-05-15,4471.53,558,6153.43,686,0,0,2993.44,717,4476.15,642,0,0,"Monday"
"136",2017-05-16,3658.06,503,5771.11,664,0,0,2637.71,656,4709.5,667,0,0,"Tuesday"
"137",2017-05-17,3550.96,466,6175.03,677,0,0,2273.99,600,4520.48,608,0,0,"Wednesday"
"138",2017-05-18,4144,544,6794.09,741,0,0,2472.34,661,5335.38,700,0,0,"Thursday"
"139",2017-05-19,5458.68,663,8387.18,944,0,0,3107.52,663,6108,845,0,0,"Friday"
"140",2017-05-20,8838.36,1137,11702.88,1229,0,0,3535.41,791,7831.69,957,0,0,"Saturday"
"141",2017-05-21,7028.25,801,9467.78,862,0,0,2558.43,553,6067.06,730,0,0,"Sunday"
"142",2017-05-22,3682.19,472,5684.84,634,0,0,2495.91,652,4233.1,608,0,0,"Monday"
"143",2017-05-23,3493.89,442,5794.53,618,0,0,2294.89,606,5244.97,737,0,0,"Tuesday"
"144",2017-05-24,3740.73,472,7282.57,768,0,0,2583.13,641,4164.21,672,0,0,"Wednesday"
"145",2017-05-25,4522.96,571,6160.75,682,0,0,2166.06,581,5479.81,710,0,0,"Thursday"
"146",2017-05-26,5416.06,652,9200.25,996,0,0,2744.14,683,6637.64,907,0,0,"Friday"
"147",2017-05-27,7913.69,962,11326.27,1168,0,0,3190.2,731,6955.86,974,0,0,"Saturday"
"148",2017-05-28,5597.75,629,7434.79,734,0,0,2111.27,447,5378.79,681,0,0,"Sunday"
"149",2017-05-29,3954.99,517,5717.94,650,0,0,2220.61,612,4246.54,593,0,0,"Monday"
"150",2017-05-30,3480.39,447,5853.88,701,0,0,2361.35,591,4246.61,637,0,0,"Tuesday"
"151",2017-05-31,4352.31,536,6448.37,702,0,0,2437.55,606,4729.4,659,0,0,"Wednesday"
"152",2017-06-01,5516.98,654,7835.19,774,0,0,2893.54,668,6158.7,825,0,0,"Thursday"
"153",2017-06-02,7138.98,856,8847.63,916,0,0,2248.25,532,5885.84,784,0,0,"Friday"
"154",2017-06-03,7260.38,910,8853.05,927,0,0,2957.13,672,5919.32,868,0,0,"Saturday"
"155",2017-06-04,7938.67,875,7632.36,751,0,0,2130.92,458,5643.61,744,0,0,"Sunday"
"156",2017-06-05,4248.1,591,5965.4,639,0,0,2504.63,645,4253.92,625,0,0,"Monday"
"157",2017-06-06,3936.62,536,6079.47,666,0,0,2197.14,557,4380.06,663,0,0,"Tuesday"
"158",2017-06-07,4576.46,612,6683.41,713,0,0,3491.43,754,4750.84,661,0,0,"Wednesday"
"159",2017-06-08,5968.08,839,6528.01,743,0,0,2262.51,541,6339.41,894,0,0,"Thursday"
"160",2017-06-09,5396.48,712,8391.68,943,0,0,2603.35,596,6297.25,861,0,0,"Friday"
"161",2017-06-10,8614.19,1086,8365.82,934,0,0,3042.53,664,6668.31,893,0,0,"Saturday"
"162",2017-06-11,6248.54,764,6983.3,713,0,0,2194.99,490,5241.31,661,0,0,"Sunday"
"163",2017-06-12,3920.98,526,4616.16,549,0,0,2355.05,565,4634.8,678,0,0,"Monday"
"164",2017-06-13,3945.94,586,4891.79,541,0,0,2028.39,547,4233.97,614,0,0,"Tuesday"
"165",2017-06-14,4833.61,650,5776.14,645,0,0,2473,626,4793.7,714,0,0,"Wednesday"
"166",2017-06-15,5572.53,686,6919.26,735,0,0,2379.98,577,5302.21,733,0,0,"Thursday"
"167",2017-06-16,5752.55,753,7831.27,903,0,0,2530.59,591,6481.84,880,0,0,"Friday"
"168",2017-06-17,8577.44,1164,9129.24,943,0,0,2869.45,633,7338.04,1011,0,0,"Saturday"
"169",2017-06-18,7212.91,839,7231.53,715,0,0,2670.12,528,6721.67,780,0,0,"Sunday"
"170",2017-06-19,4178.54,546,5614.74,637,0,0,2435.51,573,4541.86,689,0,0,"Monday"
"171",2017-06-20,3905.24,510,5131.61,607,0,0,2516.64,613,4621.81,648,0,0,"Tuesday"
"172",2017-06-21,4412.05,580,5305.87,618,0,0,2249.75,590,5193.12,742,0,0,"Wednesday"
"173",2017-06-22,5065.64,665,5859.6,679,0,0,2446.85,598,5213.44,757,0,0,"Thursday"
"174",2017-06-23,5167.58,676,7194.69,781,0,0,2686.49,633,6316.4,840,0,0,"Friday"
"175",2017-06-24,8547.39,1103,8079.62,909,0,0,2857.25,660,7755.95,997,0,0,"Saturday"
"176",2017-06-25,8178.69,979,8068.6,820,0,0,2860.69,575,5829.31,764,0,0,"Sunday"
"177",2017-06-26,5075.02,667,7013.16,774,0,0,2628.86,606,5198.61,718,0,0,"Monday"
"178",2017-06-27,4961.86,630,6296.38,697,0,0,2559.67,614,4593.87,685,0,0,"Tuesday"
"179",2017-06-28,5072.04,637,6530.38,704,0,0,2669.48,634,5261.6,706,0,0,"Wednesday"
"180",2017-06-29,5288.03,678,6547.24,729,0,0,2584.65,645,5428.18,778,0,0,"Thursday"
"181",2017-06-30,6238.29,783,7985.32,942,0,0,3169.07,698,6562.13,883,0,0,"Friday"
"182",2017-07-01,11188.97,1550,10634.34,1188,0,0,3531.81,752,8600.97,1204,0,0,"Saturday"
"183",2017-07-02,8408.93,1035,7521.77,801,0,0,2624.21,556,6406.76,872,0,0,"Sunday"
"184",2017-07-03,4813.6,712,5698.94,671,0,0,2625.1,668,4537.72,725,0,0,"Monday"
"185",2017-07-04,4590.42,670,6786.12,762,0,0,2331.92,596,4869,747,0,0,"Tuesday"
"186",2017-07-05,5925.3,874,5307.62,664,0,0,2962,731,5235.3,883,0,0,"Wednesday"
"187",2017-07-06,5064.13,710,6369.93,725,0,0,2693.68,687,4815.92,768,0,0,"Thursday"
"188",2017-07-07,5981.86,796,7366.28,878,0,0,2567.78,667,6304.47,892,0,0,"Friday"
"189",2017-07-08,9180.77,1122,7999.14,892,0,0,3137.24,716,7070.25,974,0,0,"Saturday"
"190",2017-07-09,8593.49,951,7488.65,756,0,0,2736.63,633,6353.83,800,0,0,"Sunday"
"191",2017-07-10,5357.91,825,6324.08,707,0,0,2856.06,682,4651.5,722,0,0,"Monday"
"192",2017-07-11,5322.69,762,6396.41,707,0,0,2593.99,594,5351.68,864,0,0,"Tuesday"
"193",2017-07-12,5429.47,785,6575.85,723,0,0,2790.29,658,5272.69,803,0,0,"Wednesday"
"194",2017-07-13,5445.55,707,5585.33,655,0,0,2603.35,625,5134.33,773,0,0,"Thursday"
"195",2017-07-14,6044.96,796,8380.74,900,0,0,3008.87,677,7078.11,891,0,0,"Friday"
"196",2017-07-15,8305.67,1090,9016.17,967,0,0,3428.42,779,7885.69,1027,0,0,"Saturday"
"197",2017-07-16,6844.05,814,8063.54,771,0,0,2954.92,610,5888.58,775,0,0,"Sunday"
"198",2017-07-17,5066.45,675,6269.94,691,0,0,2730.76,647,5058.6,748,0,0,"Monday"
"199",2017-07-18,4633.93,644,5357.81,638,0,0,2596.66,640,4951.19,794,0,0,"Tuesday"
"200",2017-07-19,4848.68,646,6300.82,721,0,0,2733.99,656,4999.83,779,0,0,"Wednesday"
"201",2017-07-20,4595.96,657,6531.01,758,0,0,2563.92,635,6355.69,917,0,0,"Thursday"
"202",2017-07-21,6041.66,786,7941.09,887,0,0,3245.33,702,6745.96,959,0,0,"Friday"
"203",2017-07-22,8420.88,1069,8588.75,893,0,0,3431.52,789,7424.66,935,0,0,"Saturday"
"204",2017-07-23,7168.71,891,7528.19,779,0,0,2841,584,6228.01,791,0,0,"Sunday"
"205",2017-07-24,5388.65,741,6561.17,680,0,0,2447.18,575,5048.4,770,0,0,"Monday"
"206",2017-07-25,5153.86,694,5599.95,653,0,0,2562.59,637,4944.03,784,0,0,"Tuesday"
"207",2017-07-26,4928.17,665,6683.85,747,0,0,2709.42,676,6025.03,852,0,0,"Wednesday"
"208",2017-07-27,4702.18,653,6466.87,663,0,0,2359.18,551,5681.55,843,0,0,"Thursday"
"209",2017-07-28,5788.39,872,7788.87,923,0,0,2659.42,638,6213.48,987,0,0,"Friday"
"210",2017-07-29,8161.3,1111,9604.37,962,0,0,3315.08,722,8013.84,1064,0,0,"Saturday"
"211",2017-07-30,7554.37,869,7734.49,766,0,0,2628.8,539,6058.3,791,0,0,"Sunday"
"212",2017-07-31,4928.6,666,5651.52,654,0,0,2722.02,653,4873.33,728,0,0,"Monday"
"213",2017-08-01,4750.47,642,6005.65,621,0,0,2691.56,634,4663.23,664,0,0,"Tuesday"
"214",2017-08-02,4889.3,649,5716.24,650,0,0,2537.88,642,5044.4,762,0,0,"Wednesday"
"215",2017-08-03,4820.66,681,6390.76,731,0,0,2328.12,637,5686.99,833,0,0,"Thursday"
"216",2017-08-04,5063.03,663,6580.92,752,0,0,2890.51,702,5933.22,863,0,0,"Friday"
"217",2017-08-05,8027.97,1025,8275.06,820,0,0,3016.16,725,6870.23,894,0,0,"Saturday"
